sep=|
Title|Author|Year|Category|Genre|ID|Status|Date Added|Borrower Name|Date Borrowed|Due Date
The Kite Runner|George Orwell|1948|Non-Fiction|Travel|73|1|2026-04-29|||
Dark Places|Frank Herbert|1966|Fiction|SliceOfLife|74|0|2025-11-08|Fiona Gallagher|2026-05-12|2026-05-19
Sharp Objects|Markus Zusak|1905|Non-Fiction|Psychology|75|0|2025-09-27|Bob Jones|2026-05-12|2026-05-19
A Farewell to Arms|Emily Bronte|1942|Non-Fiction|History|76|1|2026-02-02|||
The Starless Sea|Emily Bronte|1913|Fiction|Adventure|77|0|2025-12-25|Alice Smith|2026-04-22|2026-04-29
The Sirens of Titan|Andy Weir|1995|Fiction|SliceOfLife|78|0|2025-11-23|George Costanza|2026-05-12|2026-05-19
Artemis|Sally Rooney|1991|Fiction|YoungAdult|79|1|2025-06-10|||
Steve Jobs|Kurt Vonnegut|1979|Fiction|HistoricalFiction|80|0|2026-02-17|Charlie Brown|2026-05-12|2026-05-19
H Is for Hawk|Liane Moriarty|1905|Non-Fiction|Economics|81|0|2025-05-15|Bob Jones|2026-05-12|2026-05-19
Hamilton|Leo Tolstoy|1980|Fiction|Adventure|82|0|2026-01-30|Alice Smith|2026-04-22|2026-04-29
The Lost Symbol|Homer|1972|Fiction|HistoricalFiction|83|0|2025-06-01|Edward Norton|2026-05-12|2026-05-19
Neuromancer|Donna Tartt|2017|Fiction|Drama|84|0|2026-02-06|Alice Smith|2026-05-12|2026-05-19
Cats Cradle|Carl Sagan|1966|Fiction|HistoricalFiction|85|1|2025-09-16|||
The Brothers Karamazov|CS Lewis|1963|Fiction|Romance|86|1|2025-11-30|||
Dune|Paulo Coelho|1915|Non-Fiction|History|87|0|2025-12-18|Diana Prince|2026-05-12|2026-05-19
To Kill a Mockingbird|Erin Morgenstern|1917|Fiction|Romance|88|0|2026-04-11|Alice Smith|2026-05-12|2026-05-19
The Name of the Wind|Jane Austen|1984|Fiction|Thriller|89|1|2025-05-24|||
The Catcher in the Rye|Cormac McCarthy|1930|Non-Fiction|Memoir|90|1|2025-10-19|||
The Overstory|Barbara Kingsolver|2016|Non-Fiction|Autobiography|91|0|2026-04-12|Edward Norton|2026-05-12|2026-05-19
The Da Vinci Code|Donna Tartt|1925|Non-Fiction|Religion|92|0|2025-12-04|Fiona Gallagher|2026-04-22|2026-04-29
Inferno|Richard Powers|1923|Non-Fiction|Politics|93|1|2026-03-30|||
Project Hail Mary|Antoine de Saint-Exupery|2006|Non-Fiction|History|94|1|2025-09-30|||
Brave New World|Taylor Jenkins Reid|1955|Non-Fiction|Science|95|1|2025-09-29|||
The Iliad|Cormac McCarthy|1907|Non-Fiction|Philosophy|96|1|2025-11-18|||
Sharp Objects|Daniel Kahneman|1958|Fiction|Other|97|0|2026-04-21|Alice Smith|2026-05-12|2026-05-19
Angels and Demons|Khaled Hosseini|1906|Non-Fiction|TrueCrime|98|1|2025-06-10|||
American Gods|Tara Westover|1917|Non-Fiction|Economics|99|1|2025-11-30|||
The Gene|Margaret Atwood|2006|Non-Fiction|TrueCrime|100|1|2025-11-06|||
Sharp Objects|Herman Melville|1909|Non-Fiction|Other|101|1|2025-11-20|||
The Hunting Party|George Orwell|1986|Fiction|Dystopian|102|1|2025-10-27|||
Wild|JD Salinger|2018|Fiction|SliceOfLife|103|0|2025-12-21|Fiona Gallagher|2026-04-22|2026-04-29
The Left Hand of Darkness|Joe Abercrombie|2005|Non-Fiction|Psychology|104|0|2025-09-02|Fiona Gallagher|2026-05-12|2026-05-19
The Kite Runner|Frank Herbert|1931|Non-Fiction|Psychology|105|0|2026-02-15|Edward Norton|2026-05-12|2026-05-19
Conversations with Friends|Ray Bradbury|1990|Non-Fiction|Technology|106|1|2026-03-12|||
The Secret History|Carl Sagan|1902|Fiction|Adventure|107|1|2025-07-07|||
Daisy Jones and The Six|Charles Dickens|2003|Fiction|Romance|108|0|2025-06-16|Alice Smith|2026-05-12|2026-05-19
The Catcher in the Rye|Ursula K Le Guin|2023|Fiction|SciFi|109|0|2025-11-19|Fiona Gallagher|2026-05-12|2026-05-19
Dark Places|Tara Westover|1966|Non-Fiction|Biography|110|0|2025-08-13|Diana Prince|2026-05-12|2026-05-19
Atomic Habits|Stieg Larsson|1939|Non-Fiction|History|111|0|2026-01-10|Diana Prince|2026-05-12|2026-05-19
Steve Jobs|Richard Powers|2013|Non-Fiction|Psychology|112|0|2025-06-26|Fiona Gallagher|2026-05-12|2026-05-19
The Little Prince|Herman Melville|1997|Fiction|Thriller|113|1|2025-05-22|||
The Secret History|Paulo Coelho|1953|Fiction|SciFi|114|0|2026-02-20|Charlie Brown|2026-05-12|2026-05-19
The Lord of the Rings|Charles Dickens|2020|Non-Fiction|Science|115|0|2025-07-20|Fiona Gallagher|2026-05-12|2026-05-19
The Silent Patient|Tara Westover|1950|Non-Fiction|Politics|116|1|2025-05-22|||
A Game of Thrones|Delia Owens|1983|Non-Fiction|Autobiography|117|0|2025-11-24|Diana Prince|2026-04-22|2026-04-29
Atomic Habits|Hanya Yanagihara|1905|Fiction|Drama|118|1|2025-10-24|||
Blood Meridian|Dan Brown|1967|Non-Fiction|Health|119|0|2025-11-16|George Costanza|2026-05-12|2026-05-19
The Guest List|Carl Sagan|1980|Non-Fiction|History|120|1|2026-03-14|||
The Old Man and the Sea|Jane Austen|1920|Fiction|Crime|121|0|2026-02-01|Alice Smith|2026-05-12|2026-05-19
Life of Pi|Cormac McCarthy|1952|Non-Fiction|Psychology|122|1|2026-03-02|||
The Chronicles of Narnia|Richard Powers|1922|Fiction|SliceOfLife|123|1|2025-12-17|||
Homo Deus|Frank Herbert|1937|Non-Fiction|Health|124|1|2026-02-24|||
Sharp Objects|William Gibson|1938|Non-Fiction|Psychology|125|1|2026-01-13|||
Artemis|Cormac McCarthy|1923|Fiction|Action|126|0|2025-06-24|Charlie Brown|2026-05-12|2026-05-19
Breakfast of Champions|Frank Herbert|1945|Non-Fiction|Economics|127|1|2025-08-31|||
Dark Places|Carl Sagan|1958|Fiction|Mystery|128|1|2025-06-16|||
Malibu Rising|George RR Martin|1989|Fiction|Crime|129|1|2026-03-30|||
Sapiens|Carl Sagan|1998|Fiction|Crime|130|0|2025-11-04|George Costanza|2026-04-22|2026-04-29
To Kill a Mockingbird|Delia Owens|2003|Non-Fiction|TrueCrime|131|0|2025-11-27|Edward Norton|2026-05-12|2026-05-19
The Kite Runner|Carl Sagan|1926|Fiction|Dystopian|132|1|2026-02-15|||
The Way of Kings|Erin Morgenstern|1917|Non-Fiction|Travel|133|0|2025-07-01|Charlie Brown|2026-05-12|2026-05-19
The Glass Castle|Erin Morgenstern|2003|Non-Fiction|Memoir|134|1|2025-11-13|||
The Little Prince|Neil Gaiman|1990|Fiction|HistoricalFiction|135|1|2025-09-11|||
Neverwhere|Erin Morgenstern|1932|Non-Fiction|Other|136|0|2026-04-15|Fiona Gallagher|2026-04-22|2026-04-29
Fahrenheit 451|Homer|1909|Non-Fiction|Science|137|0|2025-10-16|Alice Smith|2026-05-12|2026-05-19
Deep Work|Isaac Asimov|2000|Fiction|Romance|138|0|2026-04-26|Diana Prince|2026-05-12|2026-05-19
The Gene|Charles Dickens|1992|Non-Fiction|Memoir|139|0|2025-09-29|Charlie Brown|2026-05-12|2026-05-19
The Brothers Karamazov|Antoine de Saint-Exupery|1989|Non-Fiction|History|140|1|2025-11-17|||
The Hunting Party|Fyodor Dostoevsky|1964|Fiction|Crime|141|0|2025-11-16|Charlie Brown|2026-05-12|2026-05-19
The Brothers Karamazov|Emily Bronte|1949|Non-Fiction|Health|142|0|2025-11-24|George Costanza|2026-05-12|2026-05-19
Cats Cradle|Neil Gaiman|1982|Non-Fiction|Philosophy|143|0|2025-05-16|Fiona Gallagher|2026-04-22|2026-04-29
The Gene|JD Salinger|1978|Non-Fiction|Autobiography|144|1|2026-01-21|||
The Girl with the Dragon Tattoo|Margaret Atwood|1973|Non-Fiction|Other|145|1|2025-12-24|||
The Handmaids Tale|Homer|1916|Fiction|YoungAdult|146|1|2025-12-30|||
Atomic Habits|Andy Weir|2015|Non-Fiction|Politics|147|0|2026-02-10|Alice Smith|2026-05-12|2026-05-19
Neuromancer|Yann Martel|1991|Fiction|SliceOfLife|148|1|2025-07-08|||
Pride and Prejudice|George RR Martin|1916|Non-Fiction|Religion|149|0|2025-10-26|Bob Jones|2026-05-12|2026-05-19
Elon Musk|Ray Bradbury|1970|Non-Fiction|History|150|1|2025-09-15|||
To Kill a Mockingbird|Taylor Jenkins Reid|1990|Fiction|Fantasy|151|1|2025-07-07|||
American Gods|Herman Melville|1923|Fiction|YoungAdult|152|0|2025-06-29|Fiona Gallagher|2026-04-22|2026-04-29
Life of Pi|John Steinbeck|1965|Fiction|Horror|153|1|2025-05-16|||
The Hobbit|Markus Zusak|1951|Fiction|Drama|154|1|2025-07-13|||
Wild|Homer|1981|Non-Fiction|Education|155|1|2025-08-07|||
Moby Dick|Markus Zusak|1951|Non-Fiction|Biography|156|1|2025-06-04|||
War and Peace|Patrick Rothfuss|1998|Non-Fiction|Economics|157|1|2025-05-26|||
The Lost Symbol|Neil Gaiman|1924|Fiction|Romance|158|1|2025-06-10|||
Dune|Brandon Sanderson|2012|Non-Fiction|Travel|159|1|2025-10-12|||
Blood Meridian|CS Lewis|1948|Fiction|Fantasy|160|1|2025-10-21|||
Moby Dick|James Clear|1933|Non-Fiction|TrueCrime|161|0|2026-03-20|Diana Prince|2026-05-12|2026-05-19
Blood Meridian|Daniel Kahneman|2022|Non-Fiction|Education|162|0|2026-02-19|Diana Prince|2026-05-12|2026-05-19
The Odyssey|Madeline Miller|1904|Non-Fiction|Biography|163|0|2026-03-09|Charlie Brown|2026-04-22|2026-04-29
The Book Thief|Donna Tartt|1948|Non-Fiction|Religion|164|1|2025-07-19|||
A Little Life|Erin Morgenstern|1903|Non-Fiction|Travel|165|1|2025-08-18|||
The Song of Achilles|Erin Morgenstern|1928|Fiction|Thriller|166|1|2026-04-23|||
H Is for Hawk|George RR Martin|1966|Non-Fiction|Philosophy|167|0|2025-09-18|Alice Smith|2026-05-12|2026-05-19
Inferno|Ursula K Le Guin|2010|Non-Fiction|TrueCrime|168|1|2025-11-07|||
The Song of Achilles|JRR Tolkien|1909|Non-Fiction|Economics|169|1|2025-07-18|||
The Road|John Steinbeck|1973|Fiction|Thriller|170|0|2025-06-28|Fiona Gallagher|2026-05-12|2026-05-19
The Secret History|George RR Martin|1986|Fiction|Mystery|171|0|2025-06-17|Fiona Gallagher|2026-05-12|2026-05-19
The Goldfinch|Ernest Hemingway|1967|Non-Fiction|History|172|0|2025-12-27|Fiona Gallagher|2026-05-12|2026-05-19
The Way of Kings|George Orwell|1900|Non-Fiction|Religion|173|1|2025-06-10|||
Good Omens|Carl Sagan|1993|Non-Fiction|Technology|174|1|2025-09-16|||
Fahrenheit 451|Carl Sagan|2021|Non-Fiction|Technology|175|1|2025-09-26|||
Educated|Madeline Miller|2005|Fiction|Fantasy|176|0|2025-07-21|Fiona Gallagher|2026-05-12|2026-05-19
Anansi Boys|Walter Isaacson|1949|Non-Fiction|Politics|177|1|2025-09-08|||
Dark Places|Fyodor Dostoevsky|1974|Fiction|SliceOfLife|178|0|2025-07-29|Fiona Gallagher|2026-05-12|2026-05-19
The Grapes of Wrath|Isaac Asimov|1926|Fiction|SciFi|179|1|2025-12-21|||
The Iliad|Markus Zusak|1969|Non-Fiction|Religion|180|1|2026-04-11|||
The Alchemist|Neil Gaiman|1987|Non-Fiction|Psychology|181|1|2025-08-30|||
Stardust|Erin Morgenstern|1981|Fiction|SliceOfLife|182|1|2026-03-01|||
Steve Jobs|Charlotte Bronte|1964|Fiction|Other|183|1|2026-03-19|||
Quiet|Richard Powers|1984|Fiction|Thriller|184|0|2025-11-16|Alice Smith|2026-05-12|2026-05-19
The Way of Kings|Homer|1916|Fiction|Crime|185|0|2026-03-27|Bob Jones|2026-05-12|2026-05-19
The Night Circus|Charlotte Bronte|1904|Fiction|Dystopian|186|0|2025-08-11|George Costanza|2026-05-12|2026-05-19
Project Hail Mary|Donna Tartt|2006|Non-Fiction|Other|187|1|2026-03-13|||
To Kill a Mockingbird|Liane Moriarty|2007|Non-Fiction|Economics|188|1|2025-07-08|||
Anansi Boys|Joe Abercrombie|1953|Fiction|HistoricalFiction|189|1|2025-10-19|||
Breakfast of Champions|Margaret Atwood|1929|Fiction|Romance|190|1|2025-12-27|||
Life of Pi|Sally Rooney|1957|Fiction|Crime|191|1|2026-01-07|||
A Game of Thrones|William Gibson|1954|Fiction|Mystery|192|0|2025-06-06|George Costanza|2026-05-12|2026-05-19
Malibu Rising|Neil Gaiman|1916|Fiction|Action|193|1|2025-09-30|||
Life of Pi|Neil Gaiman|2021|Non-Fiction|Science|194|1|2025-10-07|||
The Brothers Karamazov|George Orwell|1995|Fiction|Romance|195|1|2025-12-15|||
The Paris Apartment|John Steinbeck|1929|Non-Fiction|TrueCrime|196|1|2025-12-29|||
The Girl with the Dragon Tattoo|Paulo Coelho|2020|Fiction|Crime|197|1|2026-03-18|||
Blood Meridian|Aldous Huxley|2000|Fiction|Dystopian|198|1|2025-11-21|||
The Blind Assassin|Sally Rooney|1929|Fiction|YoungAdult|199|1|2026-02-06|||
Origin|Donna Tartt|1990|Fiction|Action|200|1|2026-01-21|||
Deep Work|Walter Isaacson|2002|Fiction|Thriller|201|1|2025-05-26|||
Elon Musk|Ernest Hemingway|1949|Fiction|Crime|202|0|2025-08-28|Edward Norton|2026-05-12|2026-05-19
The Martian|Taylor Jenkins Reid|1939|Non-Fiction|Science|203|1|2026-03-26|||
Brave New World|Patrick Rothfuss|2005|Non-Fiction|TrueCrime|204|0|2025-06-10|Edward Norton|2026-05-12|2026-05-19
Fahrenheit 451|Tara Westover|1948|Fiction|Adventure|205|0|2025-08-30|Alice Smith|2026-05-12|2026-05-19
Thinking Fast and Slow|Ernest Hemingway|1970|Non-Fiction|Other|206|1|2026-03-31|||
Animal Farm|Donna Tartt|2002|Non-Fiction|Psychology|207|0|2026-01-30|Bob Jones|2026-05-12|2026-05-19
Normal People|Yuval Noah Harari|1959|Non-Fiction|Health|208|1|2025-07-04|||
Stardust|Harper Lee|1990|Non-Fiction|Health|209|0|2026-02-03|Diana Prince|2026-05-12|2026-05-19
H Is for Hawk|Alex Michaelides|1909|Non-Fiction|Science|210|1|2026-01-12|||
The Blind Assassin|John Steinbeck|1942|Fiction|Romance|211|1|2026-01-10|||
The Hobbit|John Steinbeck|1911|Fiction|SciFi|212|0|2025-12-10|Edward Norton|2026-04-22|2026-04-29
Pride and Prejudice|Alex Michaelides|1919|Non-Fiction|Memoir|213|0|2026-04-02|Fiona Gallagher|2026-05-12|2026-05-19
Life of Pi|Paulo Coelho|1915|Fiction|Other|214|1|2026-04-27|||
Hamilton|Antoine de Saint-Exupery|1987|Non-Fiction|Philosophy|215|0|2026-04-12|George Costanza|2026-05-12|2026-05-19
The Goldfinch|Isaac Asimov|1915|Fiction|Other|216|0|2026-01-07|George Costanza|2026-05-12|2026-05-19
The Old Man and the Sea|Ernest Hemingway|2002|Non-Fiction|Technology|217|1|2026-03-09|||
A Tale of Two Cities|Andy Weir|1931|Fiction|Thriller|218|1|2026-02-28|||
Dune|Ray Bradbury|1912|Fiction|Other|219|1|2026-01-05|||
Sapiens|Neil Gaiman|1924|Non-Fiction|Education|220|1|2025-12-11|||
Deep Work|Walter Isaacson|1910|Non-Fiction|Economics|221|1|2025-12-14|||
Blood Meridian|Erin Morgenstern|2000|Non-Fiction|Biography|222|1|2025-12-03|||
The Name of the Wind|Neil Gaiman|1942|Fiction|HistoricalFiction|223|1|2025-08-08|||
Malibu Rising|Emily Bronte|1916|Non-Fiction|Politics|224|1|2025-05-13|||
The Paris Apartment|Alex Michaelides|1936|Fiction|Action|225|0|2025-11-23|Charlie Brown|2026-05-12|2026-05-19
Deep Work|Tara Westover|1932|Non-Fiction|History|226|1|2026-01-09|||
The Name of the Wind|Tara Westover|2012|Fiction|HistoricalFiction|227|1|2025-06-14|||
Slaughterhouse-Five|Brandon Sanderson|1951|Fiction|Dystopian|228|0|2025-09-04|Diana Prince|2026-05-12|2026-05-19
Educated|Barbara Kingsolver|1913|Non-Fiction|Education|229|1|2025-08-19|||
Quiet|Andy Weir|2000|Non-Fiction|Politics|230|1|2025-05-17|||
Angels and Demons|George Orwell|1904|Fiction|Crime|231|1|2025-08-19|||
Big Little Lies|Joe Abercrombie|2011|Non-Fiction|Autobiography|232|0|2026-05-05|Edward Norton|2026-05-12|2026-05-19
The Sun Also Rises|Herman Melville|1910|Non-Fiction|TrueCrime|233|1|2025-10-23|||
Foundation|Paulo Coelho|1976|Fiction|Romance|234|1|2026-02-22|||
Anansi Boys|George Orwell|1960|Fiction|Dystopian|235|0|2026-04-12|Alice Smith|2026-04-22|2026-04-29
Fahrenheit 451|Margaret Atwood|1960|Non-Fiction|Other|236|1|2025-12-19|||
Artemis|Paulo Coelho|2021|Fiction|Adventure|237|1|2026-04-10|||
Slaughterhouse-Five|James Clear|1949|Fiction|Dystopian|238|1|2026-03-23|||
The Paris Apartment|Sally Rooney|2019|Non-Fiction|Politics|239|1|2026-03-23|||
Jane Eyre|Hanya Yanagihara|1994|Non-Fiction|TrueCrime|240|0|2025-10-04|Bob Jones|2026-04-22|2026-04-29
The Lost Symbol|Ernest Hemingway|2005|Non-Fiction|Memoir|241|1|2025-11-05|||
Inferno|Kurt Vonnegut|1940|Fiction|HistoricalFiction|242|0|2025-11-25|Edward Norton|2026-04-22|2026-04-29
Alias Grace|Charlotte Bronte|1958|Non-Fiction|Travel|243|1|2026-02-16|||
The Alchemist|Sally Rooney|1945|Non-Fiction|Politics|244|0|2025-06-06|Diana Prince|2026-05-12|2026-05-19
Malibu Rising|Yann Martel|1902|Non-Fiction|Economics|245|1|2026-01-19|||
The Left Hand of Darkness|Herman Melville|2019|Fiction|Mystery|246|1|2025-08-22|||
The Alchemist|Barbara Kingsolver|1964|Fiction|Crime|247|0|2025-08-13|Edward Norton|2026-05-12|2026-05-19
Foundation|Homer|2003|Fiction|Action|248|1|2025-10-24|||
Stardust|Herman Melville|1925|Fiction|SliceOfLife|249|0|2025-06-15|Bob Jones|2026-05-12|2026-05-19
Atomic Habits|Herman Melville|1903|Fiction|SciFi|250|1|2025-08-31|||
Origin|Leo Tolstoy|1992|Fiction|SciFi|251|1|2026-01-14|||
Fahrenheit 451|Sally Rooney|1971|Fiction|Horror|252|1|2026-03-01|||
The Catcher in the Rye|Delia Owens|1944|Fiction|Fantasy|253|0|2025-06-21|Charlie Brown|2026-05-12|2026-05-19
The Poisonwood Bible|George Orwell|1957|Fiction|Romance|254|0|2025-09-29|Fiona Gallagher|2026-05-12|2026-05-19
Circe|Donna Tartt|1983|Fiction|Dystopian|255|1|2026-05-04|||
Neverwhere|Margaret Atwood|1914|Fiction|Romance|256|0|2026-02-15|Alice Smith|2026-04-22|2026-04-29
Moby Dick|JD Salinger|2014|Non-Fiction|Economics|257|1|2025-08-23|||
Neuromancer|Andy Weir|1974|Fiction|SliceOfLife|258|0|2025-12-06|Diana Prince|2026-05-12|2026-05-19
Anna Karenina|JRR Tolkien|1915|Non-Fiction|Religion|259|0|2025-06-05|George Costanza|2026-05-12|2026-05-19
Good Omens|Emily Bronte|1969|Non-Fiction|Travel|260|0|2026-02-15|Bob Jones|2026-05-12|2026-05-19
The Lost Symbol|Joe Abercrombie|1926|Fiction|Crime|261|0|2025-09-30|George Costanza|2026-05-12|2026-05-19
A Tale of Two Cities|George RR Martin|1909|Fiction|SliceOfLife|262|1|2026-02-04|||
Anansi Boys|Aldous Huxley|2000|Non-Fiction|TrueCrime|263|1|2025-10-10|||
The Old Man and the Sea|Brandon Sanderson|1908|Fiction|Dystopian|264|1|2025-11-01|||
Circe|Jane Austen|1994|Fiction|Drama|265|0|2025-08-29|Fiona Gallagher|2026-04-22|2026-04-29
The Silent Patient|Herman Melville|1975|Fiction|Crime|266|1|2025-08-07|||
Homo Deus|Antoine de Saint-Exupery|1920|Fiction|Action|267|1|2026-02-26|||
